Player,Team,Position,Age,Value
Wan'Dale Robinson,NYG,WR,22,2586
Tyjae Spears,TEN,RB,22,2579
John Metchie,HOU,WR,23,2566
Cole Kmet,CHI,TE,24,2566
Dalton Schultz,HOU,TE,27,2544
Brandin Cooks,DAL,WR,29,2531
Nico Collins,HOU,WR,24,2527
2023 Late 2nd,FA,PI,-1,2527
Alec Pierce,IND,WR,23,2495
Rondale Moore,ARI,WR,23,2487
2025 Mid 2nd,FA,PI,-1,2479
Trey McBride,ARI,TE,23,2461
2024 Late 2nd,FA,PI,-1,2447
Jalin Hyatt,NYG,WR,21,2439
Rashaad Penny,PHI,RB,27,2438
Darnell Mooney,CHI,WR,25,2437
Jamaal Williams,NOS,RB,28,2430
Jakobi Meyers,LVR,WR,26,2420
Courtland Sutton,DEN,WR,27,2408
Luke Musgrave,GBP,TE,22,2381
Jimmy Garoppolo,LVR,QB,31,2372
2025 Late 2nd,FA,PI,-1,2371
Isaiah Likely,BAL,TE,23,2361
Tyler Allgeier,ATL,RB,23,2351
Elijah Mitchell,SFO,RB,25,2343
Damien Harris,BUF,RB,26,2218
Jaylen Warren,PIT,RB,24,2203
Hendon Hooker,DET,QB,25,2196
Samaje Perine,DEN,RB,27,2159
Ryan Tannehill,TEN,QB,35,2144
Rashid Shaheed,NOS,WR,24,2136
Allen Lazard,NYJ,WR,27,2125
Chase Brown,CIN,RB,23,2122
Donovan Peoples-Jones,CLE,WR,24,2061
Michael Thomas,NOS,WR,30,2055
Michael Gallup,DAL,WR,27,2046
Tyler Boyd,CIN,WR,28,2041
Devin Singletary,HOU,RB,25,2040
Odell Beckham,BAL,WR,30,1976
Irv Smith Jr.,CIN,TE,24,1951
D.J. Chark,CAR,WR,26,1936
Jerome Ford,CLE,RB,23,1935
Terrace Marshall,CAR,WR,23,1934
Cedric Tillman,CLE,WR,23,1929
Isaiah Hodgins,NYG,WR,24,1923
Zamir White,LVR,RB,23,1918
Baker Mayfield,TBB,QB,28,1903
Dawson Knox,BUF,TE,26,1899
2023 Early 3rd,FA,PI,-1,1885
Juwan Johnson,NOS,TE,26,1883
Zach Evans,LAR,RB,22,1870
Nathaniel Dell,HOU,WR,23,1868
Jelani Woods,IND,TE,24,1866
Kenneth Gainwell,PHI,RB,24,1848
2024 Early 3rd,FA,PI,-1,1846
Luke Schoonmaker,DAL,TE,24,1839
Khalil Shakir,BUF,WR,23,1827
Israel Abanikanda,NYJ,RB,20,1818
Michael Wilson,ARI,WR,23,1817
Hunter Renfrow,LVR,WR,27,1809
Chase Claypool,CHI,WR,25,1799
Curtis Samuel,WAS,WR,26,1784
Puka Nacua,LAR,WR,22,1778
DeWayne McBride,MIN,RB,22,1777
Tyquan Thornton,NEP,WR,22,1769
Zay Jones,JAC,WR,28,1755
Mike Gesicki,NEP,TE,27,1746
Noah Fant,SEA,TE,25,1725
2023 Mid 3rd,FA,PI,-1,1710
D'Onta Foreman,CHI,RB,27,1705
Jerick McKinnon,KCC,RB,31,1703
Clyde Edwards-Helaire,KCC,RB,24,1703
K.J. Osborn,MIN,WR,26,1698
Chuba Hubbard,CAR,RB,24,1655
Josh Palmer,LAC,WR,23,1652
2024 Mid 3rd,FA,PI,-1,1650
Daniel Bellinger,NYG,TE,22,1640
Parris Campbell,NYG,WR,26,1639
Gerald Everett,PIT,TE,21,1621
Darnell Washington,LAC,TE,29,1621
Deuce Vaughn,DAL,RB,21,1601
Jake Ferguson,DAL,TE,24,1583
Tucker Kraft,GBP,TE,22,1570
Cade Otton,TBB,TE,24,1564
2023 Late 3rd,FA,PI,-1,1563
Tyler Higbee,LAR,TE,30,1529
Pierre Strong Jr.,NEP,RB,24,1520
Van Jefferson,LAR,WR,27,1514
Justyn Ross,KCC,WR,23,1506
Sean Tucker,TBB,RB,21,1494
Greg Dortch,ARI,WR,25,1490
2024 Late 3rd,FA,PI,-1,1489
2025 Early 3rd,FA,PI,-1,1488
Jeffery Wilson,MIA,RB,27,1482
Adam Thielen,CAR,WR,32,1478
Isaiah Spiller,LAC,RB,21,1465
Ezekiel Elliott,FA,RB,28,1455
Mecole Hardman,NYJ,WR,25,1431
Kyle Trask,TBB,QB,25,1419
Darius Slayton,NYG,WR,26,1414
Malik Davis,DAL,RB,24,1411
Michael Carter,NYJ,RB,24,1401
2025 Mid 3rd,FA,PI,-1,1397
Ty Chandler,MIN,RB,25,1386
Keaontay Ingram,ARI,RB,23,1386
Xavier Hutchinson,HOU,WR,23,1384
Sam Darnold,SFO,QB,26,1382
Kareem Hunt,FA,RB,28,1371
Stetson Bennett,LAR,QB,25,1344
Bailey Zappe,NEP,QB,24,1326
Kayshon Boutte,NEP,WR,21,1315
Marquez Valdes-Scantling,KCC,WR,28,1312
Tim Patrick,DEN,WR,29,1308
Kyren Williams,LAR,RB,22,1304
Eric Gray,NYG,RB,23,1302
2025 Late 3rd,FA,PI,-1,1294
Hunter Henry,NEP,TE,28,1281
Zach Wilson,NYJ,QB,24,1265
Hayden Hurst,CAR,TE,29,1255
Evan Hull,IND,RB,22,1249
Kyle Philips,TEN,WR,24,1230
Gardner Minshew,IND,QB,27,1224
Gus Edwards,BAL,RB,28,1218
Chris Rodriguez,WAS,RB,22,1215
Trayveon Williams,CIN,RB,25,1213
Zach Ertz,ARI,TE,32,1210
Raheem Mostert,MIA,RB,31,1207
Tyler Huntley,BAL,QB,25,1206
Tyler Scott,CHI,WR,21,1204
Laviska Shenault,CAR,WR,24,1196
Jacoby Brissett,WAS,QB,30,1188
Deneric Prince,KCC,RB,23,1185
Leonard Fournette,FA,RB,28,1150
A.T. Perry,NOS,WR,23,1146
Kevin Harris,NEP,RB,22,1140
KJ Hamler,DEN,WR,24,1137
Foster Moreau,NOS,TE,26,1136
Albert Okwuegbunam,DEN,TE,25,1095
Chris Evans,CIN,RB,25,1086
Malik Willis,TEN,QB,24,1075
David Bell,CLE,WR,22,1073
Tyler Conklin,NYJ,TE,28,1064
DeVante Parker,NEP,WR,30,1054
2023 Early 4th,FA,PI,-1,1050
Zonovan Knight,NYJ,RB,22,1038
Robert Woods,HOU,WR,31,1038
Charlie Jones,CIN,WR,24,1023
2024 Early 4th,FA,PI,-1,1023
Taysom Hill,NOS,TE,32,1018
Noah Gray,KCC,TE,24,1015
Devin Duvernay,BAL,WR,25,1008
Tutu Atwell,LAR,WR,23,1008
Allen Robinson,PIT,WR,29,995
Calvin Austin III,PIT,WR,24,992
Corey Davis,NYJ,WR,28,989
Joshua Kelley,LAC,RB,25,971
Jalen Tolbert,DAL,WR,24,966
Mike White,MIA,QB,28,964
Clayton Tune,ARI,QB,24,957
Kene Nwangwu,MIN,RB,25,936
Davis Mills,HOU,QB,24,931
Cordarrelle Patterson,ATL,RB,32,918
Richie James,KCC,WR,28,917
Kenny McIntosh,SEA,RB,23,914
Jameis Winston,NOS,QB,29,895
Taylor Heinicke,ATL,QB,30,891
Dyami Brown,WAS,WR,23,882
Donald Parham,LAC,TE,25,882
2024 Mid 4th,FA,PI,NA,867
Tyrion Davis-Price,SFO,RB,22,862
Aidan O'Connell,LVR,QB,24,861
2023 Mid 4th,FA,PI,NA,861
Russell Gage,TBB,WR,27,852
Nyheim Hines,BUF,RB,26,848
2025 Early 4th,FA,PI,NA,843
Jarrett Stidham,DEN,QB,26,838
Parker Washington,JAC,WR,21,835
Brenton Strange,JAC,TE,22,819
Zack Moss,IND,RB,25,813
Peyton Hendershot,DAL,TE,24,806
Jordan Mason,SFO,RB,24,804
Kendrick Bourne,NEP,WR,28,794
2023 Late 4th,FA,PI,NA,786
Zack Kuntz,NYJ,TE,24,780
Deon Jackson,IND,RB,24,777
Cole Turner,WAS,TE,23,770
Quez Watkins,PHI,WR,25,758
2024 Late 4th,FA,PI,NA,756
Brevin Jordan,HOU,TE,23,753
Dorian Thompson-Robinson,CLE,QB,23,735
Isaiah McKenzie,IND,WR,28,732
Tre Tucker,LVR,WR,22,729
2025 Mid 4th,FA,PI,NA,719
Denzel Mims,NYJ,WR,25,714
Tommy Tremble,CAR,TE,23,704
Dontayvion Wicks,GBP,WR,22,702
Jeremy Ruckert,NYJ,TE,22,685
Ben Skowronek,LAR,WR,26,679
Josh Reynolds,DET,WR,28,671
Austin Hooper,LVR,TE,28,664
Amari Rodgers,HOU,WR,23,663
Trey Palmer,TBB,WR,22,661
Nick Westbrook-Ikhine,TEN,WR,26,658
Chase Edmonds,TBB,RB,27,640
Noah Brown,HOU,WR,26,639
Sterling Shepard,NYG,WR,30,637
2025 Late 4th,FA,PI,NA,629
Justin Shorter,BUF,WR,23,615
Marvin Jones,DET,WR,33,608
Marquez Callaway,DEN,WR,25,604
Marcus Mariota,PHI,QB,29,602
Elijah Higgins,CLE,TE,25,602
Harrison Bryant,MIA,TE,22,600
Jalen Guyton,LAC,WR,26,579
Ke'Shawn Vaughn,TBB,RB,26,578
Ronald Jones,DAL,RB,26,577
Raheem Blackshear,CAR,RB,25,577
Jonnu Smith,ATL,TE,27,574
Jauan Jennings,SFO,WR,26,564
Hassan Haskins,TEN,RB,23,560
Boston Scott,PHI,RB,28,554
Will Dissly,SEA,TE,27,547
Logan Thomas,WAS,TE,32,540
Anthony Schwartz,CLE,WR,22,539
D'Ernest Johnson,JAC,RB,27,538
Robert Tonyan,CHI,TE,29,538
Justice Hill,BAL,RB,25,536
Adam Trautman,DEN,TE,26,534
Tre' McKitty,LAC,TE,24,532
Lew Nichols,GBP,RB,21,520
Tyler Badie,DEN,RB,23,516
Cameron Latu,SFO,TE,23,516
Eno Benjamin,NOS,RB,24,511
Mitchell Trubisky,PIT,QB,28,509
Julius Chestnut,TEN,RB,22,509
Mohamed Ibrahim,DET,RB,24,508
JaMycal Hasty,JAC,RB,26,505
Matt Corral,CAR,QB,24,504
Bryan Edwards,NOS,WR,24,504
